Name,Price
English Cucumber,$1.99
Green Onion,$1.69
Farmer's Market Yellow Onions,$1.99
Tomato On The Vine Red (1 Bunch),$3.12
Celery Stalks,$3.69
Lettuce Iceberg,$3.49
Broccoli,$2.99
Cauliflower,$5.99
"Romaine Heart, 3 Pack",$4.99
Red Peppers,$2.11
Roma Tomatoes,$0.53
Farmer's Market Carrots,$1.99
Tomato Beefsteak  Red,$1.47
Farmer's Market English Cucumber 3Ct,$4.99
Sweet Potato,$2.77
No Name Naturally Imperfect Mixed Sweet Peppers 2.5lb Bag,$5.99
Ginger,$2.08
Zucchini,$1.66
Red Onion,$2.03
"Pumpkin, Large",$5.99
Sweet Green Peppers,$2.46
Broccoli Crowns,$3.34
"Rooster Garlic Bulbs, 3-count",$1.49
Farmer's Market White Potatoes,$5.99
Farmer's Market Yellow Potato 10lb Bag,$6.99
Colossal Garlic,$1.98
Farmer's Market Grape Tomatoes,$3.99
Romaine Lettuce,$2.99
Sweet Onion,$2.53
Farmer's Market Mini Carrots,$2.49
"Cabbage, Green",$4.77
Farmer's Market Russet Potatoes,$6.99
Farmer's Market Grape Tomato 907G,$7.99
Farmer's Market Mini Cucumbers,$4.99
Asparagus,$7.79
Farmer's Market Mini Carrots,$4.99
Green Leaf Lettuce,$2.99
Butternut Squash,$5.28
Farmer's Market Red Onions,$5.99
PC Organics White Mushrooms,$3.49
White Onion,$2.03
"Greenhouse Peppers, Orange",$2.11
Kale,$3.49
Japanese Yams,$6.26
Jalapeno Peppers,$6.99
PC Organics Organic Mini Mix Potatoes 454G,$4.99
Farmer's Market Carrot Chips,$2.99
Cremini Mushrooms,$0.36
No Name Naturally Imperfect Potatoes 15lb,$6.99
PC Organics Organics Whole Shitake Mushrooms,$4.99
Red Cabbage,$4.36
The Little Potato Company Oven BBQ Ready Onion Chive Potatoes,$4.99
White Asparagus,$7.93
PC Organics Organic Red Potatoes,$5.99
PC Organics Organic White Stuffer Mushrooms,$5.99
Buttercup Squash,$5.01
Radishes,$1.99
Potato Baking Tray,$4.99
PC Organics Organic Cauliflower,$5.99
Heirloom Tomatoes,$3.03
Red Potatoes,$1.43
Three Cheese Fresh Creamer Potatoes,$4.99
PC Organics Organics Portobello Mushroom Caps,$5.99
PC Organics Organic Grape Tomatoes,$4.99
PC Organics Organic Tomato On The Vine Red (1 Bunch),$7.92
Organic French Beans,$5.99
"Spinach, Bunched",$2.99
Carnival Squash,$11.20
PC Organics Organic Mushroom Umami Mix,$4.99
Dandelion Greens,$3.99
Tomato Sugar Bomb,$6.99
Long Eggplants (1Pack),$14.36
Celery Hearts,$4.99
Carrots,$0.71
President's Choice Poblano Hot Peppers,$4.99
Radicchio Lettuce,$3.41
The Little Potato Company Oven BBQ Ready Garlic Herb Potatoes,$4.99
President's Choice Axiany Cherry Tomatoes,$6.99
"Sonata, Sweet Mini Peppers",$5.99
